指标,名称,描述
CPURUNTIME_PercentDPC,DPC占cpu率,"DPC 时间百分比监视处理器在称为延迟过程调用（DPC）的例程上花费的时间百分比。DPC是中断发生之后对其进行处理的执行过程，也称为“软中断”。DPC 时间百分比过高可能表明硬件或设备驱动程序存在问题。"
WinSession,WinSession,
LogonUserNum,当前连接用户数,用户数
HBatteryInfo_Count,电池数量,
OSMEM_Total,内存总大小,系统能使用的物理内存总大小。
HLogicalDriveInfo_Count,逻辑驱动器数量,
"SessionResourcesOpenedCount",系统文件打开数量,系统文件打开数量
Storage_Used,磁盘空间使用量,系统所有分区空间已经被使用的大小。
IPAddress,,
MaxRtt,,
HCPUInfo_Count,CPU数量,
MinRtt,,
OutOctets,网络出流量,所有网卡端口出流量之和。
MACInfo,MAC地址,MAC地址
"CPURUNTIME_ProcessorQueueLength",CPU处理器队列长度,"处理器队列的线程数量，指线程在等待分配CPU资源所排队列的长度，此长度不包括正在占有CPU资源的线程。如果CPU/内存利用率比较高（同时大于80％），队列长度比较大的情况下，就要考虑升级处理器。如果CPU利用率一般，而内存的利用率比较高（80％），队列长度大于10，就要考虑升级内存。如果仅仅是队列长度较大，CPU和内存利用率都不高，通常不意味着cpu本身存在问题，应当从应用程序的阻塞问题上进行分析。"
Storage_Used__Week_Rate,磁盘空间使用周增长率,"本周一0时至当日0时，总分区已使用空间增长量占总分区空间大小的百分比。"
HFanInfo_Count,风扇数量,
AccessTest,综合访问状态缓存,
TCPPort,,
PagesInputPersec,页面读取/秒,页面读取/秒
"CPURUNTIME_PercentInterrupt",硬件中断CPU占用率,"中断时间百分比监视中断模式中出现的总计平均处理器使用率。只有作为设备驱动程序函数的中断服务例程 (ISR) 在中断模式中运行。中断时间百分比过高表明存在出现故障的设备。
"
DiskInfo_Capacity,"处理器队列的线程数量，指线程在等待分配CPU资源所排队列的长度，此长度不包括正在占有CPU资源的线程。如果CPU/内存利用率比较高（同时大于80％），队列长度比较大的情况下，就要考虑升级处理器。如果CPU利用率一般，而内存的利用率比较高（80％），队列长度大于10，就要考虑升级内存。如果仅仅是队列长度较大，CPU和内存利用率都不高，通常不意味着cpu本身存在问题，应当从应用程序的阻塞问题上进行分析。",
OSSwapInfo_Free,虚拟内存可用空间,
WinAppEvent,WinAppEvent,
WinProcess,,
CPUNumStatistic,单CPU核数,
"Storage_Used__Week_Increment",磁盘空间使用周增长量,"当前所有分区已使用空间大小与本周一0时已使用大小的差值。"
BasicInfo_Location,,
SyncStatus,同步状态,同步状态
WMITest,WMI测试,
HPhysicsDriveInfo_Count,物理驱动器数量,
WinSecEvent,WinSecEvent,
BasicInfo_Name,,
InOctets,网络入流量,所有网卡端口入流量之和。
OSSwapInfo_Used,虚拟内存已用空间,虚拟内存空间已经被使用的大小。
CPUCount,CPU数量,
WinDiskIO_table,windows_diskIO信息,
PagesPersec,每秒硬错误访问页数,
WMITest_,WMI参数检测,
"winDiskUsedIncreamentRatio",总空间增长率,"基于总空间大小作为计算基础，以1小时为时间间隔进行增量计算，本指标主要用于判断空间的增长趋势。为了避免过多的异常处理，系统将每小时小于200M增量的空间大小的空间增长率默认按照0来计算。"
PingStatus,PING检测状态,"通过ping丢包率检测，当丢包率小于一定值时，返回状态异常；本指标对于未禁Ping的设备，表征其连通性；(ok(1)\exception(0))"
SentPackets,,
FileSize,指定文件大小,判断文件大小是否满足参数要求
HRAIDInfo_Count,RAID卡数量,
CPURUNTIME_PercentUser,用户模式占cpu率,"用户模式占cpu率，指用于用户模式的非闲置处理器时间的百分比(用户模式是为应用程序、环境子系统和整数子系统设计的有限处理模式。超过阈值说明业务负载较重或者业务需要优化。"
HNetworkInfo_Count,网卡数量,
"Storage_Used__Yesterday_Increment",磁盘空间使用昨日增长量,"昨日24时总分区已使用的空间大小与昨日0时已使用大小的差值。"
DiskInfo_DiskCount,"处理器队列的线程数量，指线程在等待分配CPU资源所排队列的长度，此长度不包括正在占有CPU资源的线程。如果CPU/内存利用率比较高（同时大于80％），队列长度比较大的情况下，就要考虑升级处理器。如果CPU利用率一般，而内存的利用率比较高（80％），队列长度大于10，就要考虑升级内存。如果仅仅是队列长度较大，CPU和内存利用率都不高，通常不意味着cpu本身存在问题，应当从应用程序的阻塞问题上进行分析。",
DirectorySize,指定目录大小,判断目录大小是否满足参数要求
Process_Count,当前进程列表总数,
OSUptime_Uptime,连续运行时间,
OSMEM_Free,可用内存,系统当前可以分配给进程使用的可用内存大小。
PacketSize,,
Octets,网络总流量,
CloseWait,CLOSE_WAIT数,CLOSE_WAIT数
HPCIDeviceInfo_Count,PCI数量,
CPUModel,CPU型号,CPU型号
"CPURUNTIME_InterruptsPersec",每秒接收硬件中断请求次数,"处理器每秒钟接收并维护的硬件中断的平均值。这个值是产生中断的设备(如：系统时钟、鼠标、磁盘驱动器、数据交流线路、网络街面卡和其它附件设备)的活动的间接指示器，这些设备通常在完成了一项任务或需要注意时中断处理器。正常的线程操作在中断时悬停，中断数阈值取决于处理器，越低越好。如果该值显著增加而系统活动没有相应的增加，则表明存在硬件问题，需要检查引起中断的网络适配器、磁盘或其他硬件。"
DiskInfo_Type,"中断时间百分比监视中断模式中出现的总计平均处理器使用率。只有作为设备驱动程序函数的中断服务例程 (ISR) 在中断模式中运行。中断时间百分比过高表明存在出现故障的设备。
",
HMemoryInfo_Count,内存数量,
ReceivedPackets,,
OSPing_,访问参数检测,"该指标会返回两个值，0代表访问失败，1代表访问成功"
OSCPU_CPU_Load,CPU平均使用率,"CPU利用率，指处理器执行非闲置线程时间的百分比，反映了所有线程在每个处理器上的处理器时间总和。该指标可以作为处理器活动的主要指示器，查看处理器是否处于饱和状态。"
OSPing,访问状态,"该指标会返回两个值，0代表访问失败，1代表访问成功"
totalCPUNum,CPU总核数,
InterfaceNum,接口数量,
HPowerSupplyInfo_Count,电源数量,
Storage_UsedRatio,磁盘空间使用率,所有分区总使用大小占分区总空间大小的百分比。
CPUGHZ,CPU主频,CPU主频
HTemperatureInfo_Count,温度计数量,
AvgRtt,ping平均回应时间,
OSPingNow,"该指标会返回两个值，0代表访问失败，1代表访问成功",
WinSysEvent,WinSysEvent,
